ID	Traditional	Tags
B2L12-I-28	麥當勞	Name
B2L12-I-29	速食店	Ph
B2L12-II-18	什麼的	Ph
B2L13-I-01	林愛麗	Character Name
B2L13-I-20	義大利	Name
B2L13-I-21	拿走	Ph
B2L13-I-22	撿到	Ph
B2L13-I-23	留下	Ph
B2L13-II-15	現代人	Ph
B2L13-II-16	比方說	Ph
B2L13-II-17	做到	Ph
B2L13-II-18	第一手	Ph
B2L13-II-19	急著	Ph
B2L13-II-20	打招呼	Ph
B2L13-II-21	面對面	Ph
B2L14-I-16	香港	Name
B2L14-I-17	上海	Name
B2L14-I-18	說到	Ph
B2L14-I-19	念完	Ph
B2L14-I-20	分公司	Ph
B2L14-I-21	捨不得	Ph
B2L14-I-22	聚一聚	Ph
B2L14-II-23	加拿大	Name
B2L14-II-24	企業管理系（企管系）	Ph
B2L14-II-25	國際關係	Ph
B2L15-I-13	過年	Ph
B2L15-I-14	除夕夜	Ph
B2L15-I-15	睡著	Ph
B2L15-I-16	壓歲錢	Ph
B2L15-I-17	恭喜發財	Ph
B2L15-I-18	好了	Ph
B2L15-II-17	華人	Name
B2L15-II-18	貼上	Ph
B2L15-II-19	年年有餘	Ph
B2L15-II-20	步步高升	Ph
B2L15-II-21	大吉大利	Ph
B2L15-II-22	放鞭炮	Ph
B2L15-II-23	大年初一	Ph
B2L15-II-24	大年初五	Ph
B3L01-I-01	安德思	Character Name
B3L01-I-02	羅珊蒂	Character Name
B3L01-I-03	何雅婷	Character Name
B3L01-I-33	差一點	Ph
B3L01-I-34	這樣下去	Ph
B3L01-I-35	沒辦法	Ph
B3L01-II-20	考上	Ph
B3L01-II-21	推薦信	Ph
B3L02-I-28	週年慶	Ph
B3L02-I-29	一般來說	Ph
B3L02-I-30	試穿	Ph
B3L02-I-31	打完折	Ph
B3L02-I-32	弄丟	Ph
B3L02-II-20	預付卡	Ph
B3L02-II-21	換成	Ph
B3L02-II-22	吃到飽	Ph
B3L02-II-23	嚇一跳	Ph
B3L02-II-24	客服中心	Ph
B3L03-I-01	陳敏萱	Character Name
B3L03-I-02	高橋健太	Character Name
B3L03-I-31	荷蘭	Name
B3L03-I-32	出大太陽	Ph
B3L03-I-33	颳風	Ph
B3L03-I-34	受到	Ph
B3L03-I-35	受不了	Ph
B3L03-I-36	餓死了	Ph
B3L03-I-37	後母臉	Ph
