ID	Traditional	Simplified	Pinyin	POS	Meaning	Tags
B5L05-II-06	階級	阶级	jiējí	N	class (in society)	slides ankiweb ddsg ccc
B5L05-II-07	間接	间接	jiànjiē	Adv	indirectly	slides ankiweb ddsg ccc
B5L05-II-23	搞定	搞定	gǎodìng	V	to have it resolved	slides ankiweb ccc book
B5L06-I-0-02	存廢	存废	cúnfèi	N	preservation or abolishment, to preserve or to abolish (contracted word from 保存 + 廢除)	ankiweb ddsg ccc book
B5L06-I-06	黑心	黑心	hēixīn	Vs-attr	darkened heart; evil mind (黑心食品 = unsafe food, i.e., made by profit-oriented people/companies with no conscience)	slides ankiweb ddsg ccc
B5L06-I-08	法官	法官	fǎguān	N	judge	slides ankiweb ddsg ccc
B5L06-I-09	判	判	pàn	V	to judge, rule, give sentencing	slides ankiweb ddsg ccc
B5L06-I-10	有期徒刑	有期徒刑	yǒuqí túxíng	Ph	prison term (sentencing with a fixed prison term)	slides ankiweb ccc book
B5L06-I-18	出獄	出狱	chūyù	Vi	to be released from prison (監獄, jiānyù, prison)	slides ankiweb book
B5L06-I-19	把	把	bǎ	M	measure for "graspable" objects like rulers, chairs, salt etc.	slides book
B5L06-I-30	闖紅燈	闯红灯	chuǎng hóngdēng	Ph	run a red light (闖, to rush, break through; 紅燈, red light)	ankiweb book
B5L06-I-35	相較於	相较于	xiāngjiào yú	Ph	in comparison to, compared to (classical Chinese)	slides ankiweb ccc book
B5L06-I-46	置身事外	置身事外	zhìshēn shìwài	Id	to remain aloof, sit on the sidelines, not be involved	slides ankiweb ccc book
B5L06-I-48	凶手	凶手	xiōngshǒu	N	murderer, killer	slides ankiweb ddsg ccc
B5L06-I-52	心痛	心痛	xīntòng	Ph	the pain in one's heart, heartbreak, heartache	slides ankiweb book
B5L06-I-57	剛剛好	刚刚好	gānggāng hǎo	Ph	just right, just enough, just the right amount, time, color, etc. (meaning here: justice done)	slides ankiweb ddsg ccc
B5L06-II-01	無濟於事	无济于事	wújì yúshì	Id	to not help the situation, does not do anybody good, of no use	mquizlet
B5L06-II-03	推動	推动	tuīdòng	V	to promote, push	slides ankiweb ddsg ccc
B5L06-II-04	漫漫長路	漫漫长路	mànmàn chánglù	Id	a long road, there is still a long way to go	slides ankiweb ddsg ccc
