ID	Traditional	Simplified	Pinyin	POS	Meaning	Tags
B6L05-II-18	拼音	拼音	pīnyīn	N	Romanization, spelling	slides
B6L05-II-26	景觀	景观	jǐngguān	N	view, landscape, scenery	slides
B6L05-II-43	自大	自大	zìdà	Vs	arrogant, conceited, swelled-head	slides
B6L05-II-T-01	捷克	捷克	Jiékè		the Czech Republic	slides
B6L06-I-0-02	人見人愛	人见人爱	rénjiàn rén'ài	Id	everybody loves, loved by all	slides
B6L06-I-0-07	沾染	沾染	zhānrǎn	Vpt	soiled with, tainted with, stained with	mquizlet
B6L06-I-05	產下	产下	chǎnxià	Vpt	to give birth to	mquizlet
B6L06-I-06	雙胞胎	双胞胎	shuāngbāotāi	N	twins	slides
B6L06-I-17	夫人	夫人	fūrén	N	wife of a prominent figure, lady, madam	slides
B6L06-I-19	救濟	救济	jiùjì	V	to provide relief to, relief	mquizlet
B6L06-I-32	訪問	访问	fǎngwèn	V	to visit, to interview; visit, interview	slides
B6L06-I-T-01	甜甜	甜甜	Tiántián		Tian Tian (貓熊名)	slides
B6L06-I-T-03	美香	美香	Měixiāng		Mei Xiang (貓熊名)	slides
B6L06-I-T-04	圓仔	圆仔	Yuánzǎi		Yuan Zai (貓熊名)	slides
B6L06-I-T-05	唐朝/代	唐朝/代	Tángcháo/dài		Tang Dynasty (618-907)	mquizlet
B6L06-I-T-06	武則天	武则天	Wǔzétiān		Wu Zetian (the only female monarch of China, 624-705)	mquizlet
B6L06-I-T-07	天武天皇	天武天皇	Tiānwǔ tiānhuáng		Emperor Temmu (the 40th Emperor of Japan, 631-686)	mquizlet
B6L06-I-T-08	宋美齡	宋美龄	Sòng Měilíng		Soong May-ling (Madame Chiang Kai-shek, 1897-2003)	mquizlet
B6L06-II-02	吸金	吸金	xījīn	Vi	to bring in (revenue)	mquizlet
B6L06-II-05	抵達	抵达	dǐdá	Vpt	to arrive at	mquizlet
B6L06-II-18	有利可圖	有利可图	yǒulì kětú	Id	profitable, promise to be profitable	slides
B6L06-II-29	進展	进展	jìnzhǎn	N/Vi	progress; to progress	book
B6L06-II-T-01	尼克森	尼克松	Níkèsēn		Richard Nixon (the 37th President of U.S.A, 1913-1994)	book
B6L06-II-T-03	周恩來	周恩来	Zhōu Ēnlái		Zhou Enlai (the 1st to 4th prime minister of the People's Republic of China, 1898-1976)	book
B6L06-II-T-06	華盛頓	华盛顿	Huáshèngdùn		Washington (the capital of U.S.A)	slides
B6L06-II-T-11	迎新	迎新	Yíngxīn		Ying Xin (貓熊名)	mquizlet
B6L06-II-T-13	美國聯邦漁業和野生動物管理局	美国联邦渔业和野生动物管理局	Měiguó liánbāng yúyè hàn yěshēng dòngwù guǎnlǐ jú		FWS: United States Fish and Wildlife Service	slides
B6L06-II-T-14	四川臥龍自然保護區	四川卧龙自然保护区	Sìchuān Wòlóng zìrán bǎohù qū		Sichuan Wolong National Nature Reserves	mquizlet
B6L07-I-0-06	苦澀	苦涩	kǔsè	Vs/N	bitter; bitterness	mquizlet
B6L07-I-13	俊男美女	俊男美女	jùnnán měinǚ	Ph	good-looking man and/or woman	slides
B6L07-I-27	當頭棒喝	当头棒喝	dāngtóu bànghè	Id	give a sharp warning, give a wakeup call, wake you up	slides
B6L07-I-30	破綻	破绽	pòzhàn	N	flaw, hole (in logic, etc.), fault	slides
B6L07-I-32	勇敢	勇敢	yǒnggǎn	Vs	courageous	book
B6L07-I-40	提早	提早	tízǎo	Adv	early, ahead of time	mquizlet
B6L07-I-43	逼出	逼出	bīchū	V	to force out, to realize	mquizlet
B6L07-I-46	發揮	发挥	fāhuī	V	to instigate, to implement, to promote	slides
B6L07-II-21	說理	说理	shuōlǐ	Vi	to reason, to rationalize things	mquizlet FlaggedPOSSep
B6L07-II-23	不由自主	不由自主	bùyóu zìzhǔ	Id	cannot help but (do s/t), involuntarily	slides
B6L07-II-31	說話不算話	说话不算话	shuōhuà bú suànhuà	Ph	to not keep your word, your word means nothing	slides
B6L07-II-39	親身	亲身	qīnshēn	Adv	personally, first-hand	slides
B6L08-I-02	強心針	强心针	qiángxīnzhēn	N	strongest encouragement, 'a shot in the arm'	slides
B6L08-I-06	脫穎而出	脱颖而出	tuōyǐng érchū	Id	stand out from (the rest)	slides
B6L08-I-07	申奧＝申請奧運	申奥＝申请奥运	shēn'Ào (shēnqǐng Àoyùn)	Ph	to apply to host the Olympics	slides
B6L08-I-08	宣傳	宣传	xuānchuán	N	promotion, propaganda	slides
B6L08-I-10	項目	项目	xiàngmù	N	items, events (of competitions)	slides
B6L08-I-13	贊助	赞助	zànzhù	V/N	to sponsor; sponsorship, financial support	mquizlet
B6L08-I-16	蓬勃	蓬勃	péngbó	Adv	vigorously	slides
B6L08-I-19	歸於	归于	guīyú	Vst	to end up in	mquizlet
B6L08-I-20	前車之鑑	前车之鉴	qiánchē zhījiàn	Id	mistakes made by those who came before, lessons from history, instructive precedents	slides
B6L08-I-31	花費	花费	huāfèi	V/N	to spend; expenditures	book
B6L08-I-39	專屬	专属	zhuānshǔ	N	exclusive characteristic	slides
B6L08-I-42	足以	足以	zúyǐ	Adv	enough to, be sufficient to	slides
B6L08-I-T-02	奧林匹克運動會	奥林匹克运动会	Àolínpīkè yùndònghuì		Olympic Games	slides
B6L08-I-T-04	蒙特婁	蒙特娄	Méngtèlóu		Montreal, Canada	mquizlet
B6L08-II-11	接下	接下	jiēxià	V	to agree to	mquizlet
B6L08-II-22	總共	总共	zǒnggòng	Adv	in total, altogether	slides
B6L08-II-27	蚊子館	蚊子馆	wénziguǎn	Ph	white elephant, i.e., government projects on which huge amounts of money are spent, but after they are completed or used for a certain purpose, they are not used again. They are populated only by mosquitos.	slides
B6L08-II-31	四年一度	四年一度	sìnián yídù	Ph	once every four years	slides
B6L08-II-32	有/無福消受	有/无福消受	yǒu/wúfú xiāoshòu	Id	be fortunate enough to enjoy, not have the fortune of enjoying	slides
B6L08-II-33	巨象	巨象	jùxiàng	N	elephant	book
B6L08-II-34	狠狠	狠狠	hěnhěn	Adv	severely, viciously	book
B6L08-II-T-01	奧會＝奧林匹克委員會	奥委会＝奥林匹克委员会	Àohuì (Àolínpīkè wěiyuánhuì)		Olympic Committee	book
B6L09-I-0-01	鄉關何處	乡关何处	xiāngguān héchù	Ph	Where is home? (lit.) Where is the road to my hometown?	slides
B6L09-I-0-02	開啟	开启	kāiqǐ	V	to open up, to unlock	slides
B6L09-I-0-04	泰半	泰半	tàibàn	Det	most, the majority of (泰=大)	slides
B6L09-I-0-08	念頭	念头	niàntou	N	idea, desire	book
B6L09-I-13	飄泊	飘泊	piāobó	Vi	to drift aimlessly	slides
B6L09-I-25	流轉	流转	liúzhuǎn	Vi	to flow (time, etc.), to go back and forth between, to shuttle between	slides
B6L09-I-32	愕然	愕然	èrán	Vs	stunned, astounded, taken aback	slides
B6L09-I-38	碧綠	碧绿	bìlǜ	Vs	dark green, verdant	slides
B6L09-I-39	寧靜	宁静	níngjìng	Vs	peaceful, serene	slides
B6L09-II-10	純粹	纯粹	chúncuì	Vs	pure	slides
B6L09-II-12	屬意	属意	shǔyì	Vs-attr	to have one's heart set on, to be partial to	slides FlaggedPinyin
B6L09-II-18	安放	安放	ānfàng	V	to place	slides
B6L09-II-41	驛站	驿站	yìzhàn	N	(bus, train, etc.) stop, post, stop (along the way)	slides
B6L09-II-T-03	普洱	普洱	Pǔ'ěr		Pu'er city, Yunnan, China, where Pu'er tea is grown	slides
B6L10-I-02	讀萬卷書、行萬里路	读万卷书、行万里路	dú wàn juàn shū, xíng wàn lǐ lù	Ph	read and travel a great deal, i.e., knowledge is found both in books and in travelling	book
B6L10-I-38	善（於）	善（于）	shàn (yú)	Vst	to be good at	book
B6L10-I-T-03	中經合集團	中经合集团	Zhōngjīnghé jítuán		WI Harper Group (a pioneer in cross-border investments with offices in Beijing, Taipei, and San Francisco)	
B6L10-II-53	二度空間	二度空间	èrdù kōngjiān	Ph	two-dimensional	book
